    Time      Ur        Uinf      Ct_adm    a        Yaw(deg)  Thrust     Power  
    0.000     5.350     5.350     0.507     0.149     0.000  107513.6   575248.1
    0.500     5.344     6.279     0.507     0.149     0.000  107282.1   573322.6
    1.000     5.335     6.269     0.515     0.152     0.000  109254.2   582923.6
    1.500     5.323     6.274     0.515     0.152     0.000  108765.1   578933.3
    2.000     5.308     6.256     0.522     0.154     0.000  110453.2   586255.8
    2.500     5.289     6.254     0.522     0.154     0.000  109704.0   580183.9
    3.000     5.267     6.229     0.529     0.157     0.000  111118.3   585315.4
    3.500     5.243     6.219     0.529     0.157     0.000  110153.7   577531.7
    4.000     5.217     6.189     0.537     0.160     0.000  111354.1   580966.2
    4.500     5.189     6.175     0.537     0.160     0.000  110262.1   572194.7
    5.000     5.162     6.142     0.544     0.162     0.000  111346.5   574739.6
    5.500     5.133     6.128     0.544     0.162     0.000  110238.2   565886.3
    6.000     5.107     6.096     0.548     0.164     0.000  110312.1   563310.9
    6.500     5.081     6.076     0.548     0.164     0.000  109332.8   555534.0
    7.000     5.058     6.048     0.546     0.163     0.000  108118.2   546912.7
    7.500     5.039     6.022     0.546     0.163     0.000  107386.6   541136.1
    8.000     5.023     6.003     0.545     0.163     0.000  106481.4   534861.3
    8.500     5.010     5.985     0.545     0.163     0.000  106003.6   531128.7
    9.000     5.001     5.974     0.545     0.163     0.000  105427.9   527257.2
    9.500     4.995     5.965     0.545     0.163     0.000  105169.0   525309.6
   10.000     4.991     5.960     0.544     0.163     0.000  104960.5   523896.3
   10.500     4.990     5.959     0.544     0.163     0.000  104855.9   523241.9
   11.000     4.991     5.959     0.545     0.163     0.000  105014.5   524086.9
   11.500     4.992     5.963     0.545     0.163     0.000  104987.6   524123.0
   12.000     4.995     5.966     0.547     0.163     0.000  105452.8   526697.9
   12.500     4.997     5.973     0.547     0.163     0.000  105431.1   526832.7
   13.000     4.999     5.976     0.549     0.164     0.000  106080.5   530308.3
   13.500     5.000     5.983     0.549     0.164     0.000  106009.6   530073.2
   14.000     5.001     5.984     0.552     0.165     0.000  106683.4   533481.0
   14.500     4.999     5.990     0.552     0.165     0.000  106536.8   532621.4
   15.000     4.997     5.987     0.554     0.166     0.000  107078.8   535102.0
   15.500     4.994     5.989     0.554     0.166     0.000  106867.0   533660.2
   16.000     4.989     5.984     0.556     0.167     0.000  107167.5   534711.0
   16.500     4.985     5.983     0.556     0.167     0.000  106940.6   533056.8
   17.000     4.980     5.978     0.557     0.167     0.000  106962.5   532667.9
   17.500     4.976     5.975     0.557     0.167     0.000  106801.2   531427.5
   18.000     4.973     5.972     0.557     0.167     0.000  106585.8   530062.0
   18.500     4.972     5.969     0.557     0.167     0.000  106582.0   529964.2
   19.000     4.974     5.972     0.555     0.166     0.000  106228.0   528384.8
   19.500     4.979     5.973     0.555     0.166     0.000  106461.8   530078.4
   20.000     4.987     5.983     0.552     0.165     0.000  106087.7   529087.2
   20.500     4.999     5.991     0.552     0.165     0.000  106605.7   532973.9
   21.000     5.015     6.010     0.549     0.164     0.000  106308.1   533143.9
   21.500     5.035     6.024     0.549     0.164     0.000  107110.1   539260.1
   22.000     5.057     6.051     0.545     0.163     0.000  106931.9   540745.0
   22.500     5.082     6.071     0.545     0.163     0.000  107969.8   548732.8
   23.000     5.109     6.103     0.541     0.161     0.000  107891.1   551226.1
   23.500     5.138     6.126     0.541     0.161     0.000  109080.6   560417.9
   24.000     5.166     6.160     0.537     0.160     0.000  109033.3   563280.0
   24.500     5.195     6.183     0.537     0.160     0.000  110278.4   572892.2
